Name,Full name,Monomer SMILES,Repeat unit SMILES,Rescode,Parameterized
mP3H6mMePhHx,3-Hydroxy-6-(3-methylphenyl)hexanoate,O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O,[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O,,
tP3H6mMePhHx,3-Hydroxy-6-(3-methylphenyl)hexanoate,O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O,[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O,,
hP3H5pBrPhV,3-Hydroxy-5-(4-bromophenyl)valerate,O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O,[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O,,
mP3H5pBrPhV,3-Hydroxy-5-(4-bromophenyl)valerate,O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O,[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O,,
tP3H5pBrPhV,3-Hydroxy-5-(4-bromophenyl)valerate,O[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O,[C@H](CCC1=CC=C(Br)C=C1)CC(=O)O,,
hP3H5pBrPxV,3-Hydroxy-5-(4-bromophenoxy)valerate,O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O,,
mP3H5pBrPxV,3-Hydroxy-5-(4-bromophenoxy)valerate,O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O,,
tP3H5pBrPxV,3-Hydroxy-5-(4-bromophenoxy)valerate,O[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(Br)C=C1)CC(=O)O,,
hP3H5pCLPxV,3-Hydroxy-5-(4-chlorophenoxy)valerate,O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O,,
mP3H5pCLPxV,3-Hydroxy-5-(4-chlorophenoxy)valerate,O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O,,
tP3H5pCLPxV,3-Hydroxy-5-(4-chlorophenoxy)valerate,O[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCOC1=CC=C(Cl)C=C1)CC(=O)O,,
hP3H6pCLPxHx,3-Hydroxy-6-(4-chlorophenoxy)hexanoate,O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O,,
mP3H6pCLPxHx,3-Hydroxy-6-(4-chlorophenoxy)hexanoate,O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O,,
tP3H6pCLPxHx,3-Hydroxy-6-(4-chlorophenoxy)hexanoate,O[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCCOC1=CC=C(Cl)C=C1)CC(=O)O,,
hP3H5pCLPhV,3-Hydroxy-5-(4-chlorophenyl)valerate,O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O,,
mP3H5pCLPhV,3-Hydroxy-5-(4-chlorophenyl)valerate,O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O,,
tP3H5pCLPhV,3-Hydroxy-5-(4-chlorophenyl)valerate,O[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O,[C@H](CCC1=CC=C(Cl)C=C1)CC(=O)O,,
hP4HB,4-Hydroxybutyrate,OCCCC(=O)O,CCCC(=O)O,,
mP4HB,4-Hydroxybutyrate,OCCCC(=O)O,CCCC(=O)O,,
tP4HB,4-Hydroxybutyrate,OCCCC(=O)O,CCCC(=O)O,,
hP5HV,5-Hydroxyvalerate,OCCCCC(=O)O,CCCCC(=O)O,,
mP5HV,5-Hydroxyvalerate,OCCCCC(=O)O,CCCCC(=O)O,,
tP5HV,5-Hydroxyvalerate,OCCCCC(=O)O,CCCCC(=O)O,,
hP6HHx,6-Hydroxyhexanoate,OCCCCCC(=O)O,CCCCCC(=O)O,,
mP6HHx,6-Hydroxyhexanoate,OCCCCCC(=O)O,CCCCCC(=O)O,,
tP6HHx,6-Hydroxyhexanoate,OCCCCCC(=O)O,CCCCCC(=O)O,,
hP7HHp,7-Hydroxyheptanoate,OCCCCCCC(=O)O,CCCCCCC(=O)O,,
mP7HHp,7-Hydroxyheptanoate,OCCCCCCC(=O)O,CCCCCCC(=O)O,,
tP7HHp,7-Hydroxyheptanoate,OCCCCCCC(=O)O,CCCCCCC(=O)O,,
hP3HP,,,,,
mP3HP,,,,,
tP3HP,,,,,
hP4HV,,,,,
mP4HV,,,,,
tP4HV,,,,,
hP4HHx,,,,,
mP4HHx,,,,,
tP4HHx,,,,,
hP4HHp,,,,,
mP4HHp,,,,,
tP4HHp,,,,,
hP4HO,,,,,
mP4HO,,,,,
tP4HO,,,,,
hP4HD,,,,,
mP4HD,,,,,
tP4HD,,,,,
hP5HHx,,,,,
mP5HHx,,,,,
tP5HHx,,,,,
hP6HDD,,,,,
mP6HDD,,,,,
tP6HDD,,,,,
hP3H4PE,,,,,
mP3H4PE,,,,,
tP3H4PE,,,,,
hP3H4tHE,,,,,
mP3H4tHE,,,,,
tP3H4tHE,,,,,
hP3H4cHE,,,,,
mP3H4cHE,,,,,
tP3H4cHE,,,,,
hP3H6tOE,,,,,
mP3H6tOE,,,,,
tP3H6tOE,,,,,
hP3H6cOE,,,,,
mP3H6cOE,,,,,
tP3H6cOE,,,,,
hP3H8NE,,,,,
mP3H8NE,,,,,
tP3H8NE,,,,,
hP3H5cDDE,,,,,
mP3H5cDDE,,,,,
tP3H5cDDE,,,,,
hP3H6DDE,,,,,
mP3H6DDE,,,,,
tP3H6DDE,,,,,
hP3H4MeHx,,,,,
mP3H4MeHx,,,,,
tP3H4MeHx,,,,,
hP3H4MeO,,,,,
mP3H4MeO,,,,,
tP3H4MeO,,,,,
hP3H5MeO,,,,,
mP3H5MeO,,,,,
tP3H5MeO,,,,,
