PHA_type,component,readable_name,residue_code,smiles
3H7PxHp,trimer,P3H7PxHp_3,AEU,O[C@H](CCCCOC1=CC=CC=C1)CC(=O)O[C@H](CCCCOC1=CC=CC=C1)CC(=O)O[C@H](CCCCOC1=CC=CC=C1)CC(=O)O
3H7PxHp,head,hP3H7PxHp,AEV,O[C@H](CCCCOC1=CC=CC=C1)CC(=O)O
3H7PxHp,mainchain,mP3H7PxHp,AEW,O[C@H](CCCCOC1=CC=CC=C1)CC(=O)O
3H7PxHp,tail,tP3H7PxHp,AEX,O[C@H](CCCCOC1=CC=CC=C1)CC(=O)O
3H8PxO,trimer,P3H8PxO_3,AEY,O[C@H](CCCCCOC1=CC=CC=C1)CC(=O)O[C@H](CCCCCOC1=CC=CC=C1)CC(=O)O[C@H](CCCCCOC1=CC=CC=C1)CC(=O)O
3H8PxO,head,hP3H8PxO,AEZ,O[C@H](CCCCCOC1=CC=CC=C1)CC(=O)O
3H8PxO,mainchain,mP3H8PxO,AFA,O[C@H](CCCCCOC1=CC=CC=C1)CC(=O)O
3H8PxO,tail,tP3H8PxO,AFB,O[C@H](CCCCCOC1=CC=CC=C1)CC(=O)O
3H4pMPxPb,trimer,P3H4pMPxPb_3,AFC,O[C@@H](COC1=CC=C(C)C=C1)CC(=O)O[C@@H](COC1=CC=C(C)C=C1)CC(=O)O[C@@H](COC1=CC=C(C)C=C1)CC(=O)O
3H4pMPxPb,head,hP3H4pMPxPb,AFD,O[C@@H](COC1=CC=C(C)C=C1)CC(=O)O
3H4pMPxPb,mainchain,mP3H4pMPxPb,AFE,O[C@@H](COC1=CC=C(C)C=C1)CC(=O)O
3H4pMPxPb,tail,tP3H4pMPxPb,AFF,O[C@@H](COC1=CC=C(C)C=C1)CC(=O)O
3H4mMPxPb,trimer,P3H4mMPxPb_3,AFG,O[C@@H](COC1=CC(C)=CC=C1)CC(=O)O[C@@H](COC1=CC(C)=CC=C1)CC(=O)O[C@@H](COC1=CC(C)=CC=C1)CC(=O)O
3H4mMPxPb,head,hP3H4mMPxPb,AFH,O[C@@H](COC1=CC(C)=CC=C1)CC(=O)O
3H4mMPxPb,mainchain,mP3H4mMPxPb,AFI,O[C@@H](COC1=CC(C)=CC=C1)CC(=O)O
3H4mMPxPb,tail,tP3H4mMPxPb,AFJ,O[C@@H](COC1=CC(C)=CC=C1)CC(=O)O
